Measles,Date,Chickenpox,Date,Mumps,Date,Rubella,Date
58,1953.917,158,1963.917,438,1952.917,60,1963.917
206,1954,299,1964,560,1953,129,1964
145,1954.083,298,1964.083,459,1953.083,141,1964.083
180,1954.167,319,1964.167,683,1953.167,355,1964.167
222,1954.25,361,1964.25,668,1953.25,926,1964.25
416,1954.333,229,1964.333,548,1953.333,602,1964.333
329,1954.417,142,1964.417,278,1953.417,394,1964.417
142,1954.5,83,1964.5,105,1953.5,185,1964.5
70,1954.583,86,1964.583,64,1953.583,117,1964.583
66,1954.667,143,1964.667,79,1953.667,157,1964.667
120,1954.75,141,1964.75,107,1953.75,122,1964.75
194,1954.833,164,1964.833,136,1953.833,144,1964.833
261,1954.917,205,1964.917,17,1953.917,198,1964.917
944,1955,301,1965,267,1954,266,1965
1752,1955.083,303,1965.083,338,1954.083,261,1965.083
2840,1955.167,332,1965.167,336,1954.167,398,1965.167
1997,1955.25,150,1965.25,278,1954.25,287,1965.25
1440,1955.333,129,1965.333,239,1954.333,231,1965.333
423,1955.417,109,1965.417,131,1954.417,164,1965.417
118,1955.5,35,1965.5,59,1954.5,69,1965.5
77,1955.583,36,1965.583,62,1954.583,63,1965.583
83,1955.667,59,1965.667,49,1954.667,97,1965.667
113,1955.75,61,1965.75,64,1954.75,72,1965.75
136,1955.833,82,1965.833,86,1954.833,84,1965.833
239,1955.917,161,1965.917,110,1954.917,48,1965.917
241,1956,172,1966,162,1955,89,1966
214,1956.083,206,1966.083,184,1955.083,124,1966.083
245,1956.167,225,1966.167,258,1955.167,159,1966.167
173,1956.25,122,1966.25,195,1955.25,79,1966.25
93,1956.333,69,1966.333,196,1955.333,80,1966.333
50,1956.417,97,1966.417,85,1955.417,65,1966.417
40,1956.5,47,1966.5,55,1955.5,33,1966.5
31,1956.583,44,1966.583,53,1955.583,42,1966.583
27,1956.667,70,1966.667,39,1955.667,66,1966.667
43,1956.75,100,1966.75,66,1955.75,60,1966.75
99,1956.833,174,1966.833,83,1955.833,70,1966.833
315,1956.917,178,1966.917,121,1955.917,96,1966.917
639,1957,311,1967,194,1956,124,1967
1372,1957.083,327,1967.083,278,1956.083,161,1967.083
1358,1957.167,346,1967.167,227,1956.167,161,1967.167
1358,1957.25,241,1967.25,282,1956.25,110,1967.25
1505,1957.333,265,1967.333,264,1956.333,121,1967.333
616,1957.417,123,1967.417,140,1956.417,69,1967.417
220,1957.5,70,1967.5,76,1956.5,28,1967.5
157,1957.583,95,1967.583,72,1956.583,69,1967.583
134,1957.667,83,1967.667,116,1956.667,79,1967.667
149,1957.75,48,1967.75,146,1956.75,80,1967.75
214,1957.833,84,1967.833,178,1956.833,75,1967.833
229,1957.917,60,1967.917,201,1956.917,35,1967.917
330,1958,,,373,1957,,
314,1958.083,,,413,1957.083,,
228,1958.167,,,397,1957.167,,
183,1958.25,,,265,1957.25,,
430,1958.333,,,293,1957.333,,
225,1958.417,,,176,1957.417,,
155,1958.5,,,100,1957.5,,
93,1958.583,,,90,1957.583,,
82,1958.667,,,99,1957.667
201,1958.75,,,182,1957.75
218,1958.833,,,113,1957.833
307,1958.917,,,86,1957.917
738,1959,,,209,1958
826,1959.083,,,215,1958.083
968,1959.167,,,225,1958.167
959,1959.25,,,234,1958.25
623,1959.333,,,128,1958.333
390,1959.417,,,88,1958.417
165,1959.5,,,43,1958.5
27,1959.583,,,27,1958.583
24,1959.667,,,40,1958.667
50,1959.75,,,43,1958.75
31,1959.833,,,45,1958.833
64,1959.917,,,76,1958.917
46,1960,,,53,1959
41,1960.083,,,36,1959.083
39,1960.167,,,53,1959.167
137,1960.25,,,51,1959.25
135,1960.333,,,35,1959.333
224,1960.417,,,23,1959.417
110,1960.5,,,19,1959.5
93,1960.583,,,11,1959.583
211,1960.667,,,27,1959.667
417,1960.75,,,50,1959.75
696,1960.833,,,69,1959.833
1305,1960.917,,,87,1959.917
1704,1961,,,79,1960
1505,1961.083,,,96,1960.083
879,1961.167,,,150,1960.167
431,1961.25,,,133,1960.25
297,1961.333,,,151,1960.333
185,1961.417,,,171,1960.417
70,1961.5,,,73,1960.5
70,1961.583,,,95,1960.583
123,1961.667,,,110,1960.667
77,1961.75,,,168,1960.75
113,1961.833,,,384,1960.833
53,1961.917,,,395,1960.917
123,1962,,,650,1961
100,1962.083,,,751,1961.083
93,1962.167,,,1234,1961.167
54,1962.25,,,734,1961.25
60,1962.333,,,586,1961.333
32,1962.417,,,231,1961.417
39,1962.5,,,112,1961.5
33,1962.583,,,64,1961.583
42,1962.667,,,53,1961.667
52,1962.75,,,54,1961.75
80,1962.833,,,79,1961.833
115,1962.917,,,56,1961.917
193,1963,,,94,1962
118,1963.083,,,57,1962.083
247,1963.167,,,76,1962.167
334,1963.25,,,24,1962.25
640,1963.333,,,49,1962.333
549,1963.417,,,27,1962.417
338,1963.5,,,17,1962.5
396,1963.583,,,31,1962.583
543,1963.667,,,21,1962.667
1137,1963.75,,,44,1962.75
1361,1963.833,,,34,1962.833
1474,1963.917,,,26,1962.917
1585,1964,,,47,1963
727,1964.083,,,33,1963.083
400,1964.167,,,38,1963.167
192,1964.25,,,22,1963.25
145,1964.333,,,37,1963.333
55,1964.417,,,37,1963.417
22,1964.5,,,25,1963.5
10,1964.583,,,20,1963.583
17,1964.667,,,37,1963.667
15,1964.75,,,62,1963.75
18,1964.833,,,61,1963.833
6,1964.917,,,128,1963.917
20,1965,,,233,1964
25,1965.083,,,217,1964.083
33,1965.167,,,320,1964.167
46,1965.25,,,426,1964.25
24,1965.333,,,248,1964.333
30,1965.417,,,195,1964.417
18,1965.5,,,104,1964.5
18,1965.583,,,95,1964.583
76,1965.667,,,203,1964.667
142,1965.75,,,195,1964.75
313,1965.833,,,340,1964.833
555,1965.917,,,357,1964.917
881,1966,,,382,1965
1377,1966.083,,,360,1965.083
2035,1966.167,,,368,1965.167
1061,1966.25,,,159,1965.25
595,1966.333,,,92,1965.333
268,1966.417,,,72,1965.417
56,1966.5,,,29,1965.5
36,1966.583,,,22,1965.583
52,1966.667,,,42,1965.667
28,1966.75,,,51,1965.75
20,1966.833,,,57,1965.833
23,1966.917,,,80,1965.917
28,1967,,,87,1966
21,1967.083,,,65,1966.083
24,1967.167,,,95,1966.167
11,1967.25,,,36,1966.25
13,1967.333,,,35,1966.333
8,1967.417,,,25,1966.417
8,1967.5,,,19,1966.5
17,1967.583,,,21,1966.583
13,1967.667,,,24,1966.667
47,1967.75,,,48,1966.75
130,1967.833,,,81,1966.833
192,1967.917,,,74,1966.917
